word,translation_en,translation_jp
над,"above, over",上に、上に
взять,to take,取る
конечно,certainly,確かに
понимать,"understand, comprehend, realize",理解する、理解する、悟る
дверь,door,ドア
три,three,三つ
конец,"end, ending",終わり、終わり
город,"city, town",市、町
несколько,some a few several,いくつかのいくつかのいくつかの
начать,"begin, start, commence",始まる、始まる、始まる
голос,"voice, part, vote",声、パート、投票
час,"hour, time, hours",時間、時間、時間
пока,bye (informal),さようなら（非公式）
уж,grass snake,草のヘビ
последний,"last, latest, recent",最後、最新、最近
более,more,もっと
хорошо,"it is good, it is pleasant, well, good",いいです、楽しいです、まあ、いいです
хотя,"although, though, at least, despite",しかし、しかし、少なくとも、にもかかわらず
сила,"power, might, strength, force",力、力、強さ、力
вода,water,水
второй,"second, the latter",2番目、後者
увидеть,see,見る
всегда,always,いつも
давать,"give, let",与える、させて
случай,"case or occasion, chance, opportunity, event, incident, occurrence",事件または機会、偶然、機会、出来事、事件、出来事
куда,"where (to), whereto",どこ（へ）、どこへ
пойти,(will) go on foot,(つもり)歩いて行きます
стол,table,テーブル
машина,car,車
мир,world,世界
ночь,night,夜
женщина,"woman, women, womanfolk, womankind",女性、女性、女性、女性
остаться,to remain or stay,残るか、留まるか
сразу,"immediately, at once",すぐに、すぐに
совсем,"entirely, totally, completely, quite, at all",完全に、完全に、完全に、全く、まったく
выйти,"leave, go out, get out",離れる、出る、出る
вид,view,ビュー
отец,father,父親
вопрос,question,質問
дать,"give, allocate",与える、割り当てる
работать,"work, operate",働く、操作する
оказаться,to turn out to be,なることが判明する
ряд,row,行
почти,"almost, nearly",ほぼ、ほぼ
снова,again (anew),もう一度（新たに）
старый,"old, ancient",古い、古代の
страна,"country, ",国、
твой,"your, yours, thy, thine, your people",あなた、あなたの、あなたの、あなたの、あなたの人々
между,between,間
ответить,answer,答え
много,much,多くの
война,"war, warfare",戦争、戦争
подумать,"to think a little, for a while",少し、しばらく考えてみる
любить,love,愛
белый,white,白
главный,main,主要
лишь,"only, as soon as, merely, just",ただ、すぐに、ただ、ちょうど
опять,again (occurring another time),もう一度（また別の機会に）
однако,"however, though, but",しかし、しかし、しかし
правда,truth,真実
посмотреть,"look, watch",見て、見て
никогда,"never, ever",決して、決して
будто,"as if, as though",まるで、まるで
часть,part,一部
именно,"exactly, namely, to wit, that is, just",まさに、つまり、機知に富んだ、つまりちょうど
найти,find,探す
дорога,"road, way, journey",道路、道、旅
свет,light,ライト
никакой,"no...at all, no...whatsoever, none",いいえ...まったく、いいえ...何も、なし
окно,"window, casement-window, window-sill, gap, opening, port, slot",窓、開き窓、窓枠、隙間、開口部、ポート、スロット
мать,mother,母親
решить,decide,決める
получить,"receive, get, obtain",受け取る、得る、得る
улица,street,通り
вернуться,"to return, come back (from)",戻る、戻ってくる（から）
вообще,"in general, generally",一般的に、一般的に
маленький,"little, small",少し、小さい
считать,"consider, deem, find, think",考える、考える、見つける、考える
комната,room,部屋
вечер,evening,夕方
сегодня,today,今日
душа,soul,魂
книга,"book, volume",本、巻
вместе,together,一緒に
чуть,nearly,ほぼ
пол,"floor, ground",床、地面
помнить,"to remember, recollect, keep in mind",思い出す、思い出す、覚えておく
сколько,"how much, how many",どれくらい、どれくらい
народ,"people, nation",人々、国家
хоть,"though, even",しかし、たとえ
взгляд,"look, gaze, stare",見る、凝視する、凝視する
русский,Russian,ロシア
зачем,"what for, why",何のために、なぜ
история,"history, story, event",歴史、物語、出来事
полный,"full, complete",完全な、完全な
узнать,learn,学ぶ
любой,"any, every, anyone, either",どれでも、すべての、誰でも、どちらか
ходить,"go, walk, move, pass",行く、歩く、動く、通り過ぎる
заметить,"notice, note, observe, sight, catch sight, pay heed, remark",気づく、注意する、観察する、見る、目を引く、注意する、発言する
известный,well-known,よく知られている
словно,as if like or seemingly,まるでそうであるかのように
наконец,"finally, at last",ついに、ついに
общий,"common, general, overall",共通の、一般的な、全体的な
имя,"name, first name",名前、名
назад,"back, backwards",後ろに、後ろに
мысль,thought,考え
уйти,"leave, depart",出発、出発
быстро,"fast, quickly, rapidly, with speed",速い、早く、急速に、スピードを持って
давно,"how long, long ago",どれくらい前から
слушать,"listen to, hear, attend, examine chest, auscultate, obey",聞く、聞く、出席する、胸を調べる、聴診する、従う
прямо,straight,真っ直ぐ
разговор,"conversation, talk",会話、会話
долго,"a long time, for a long time",長い間、長い間
нельзя,"one cannot, you can't, it's impossible",人はできない、あなたもできない、それは不可能です
право,right,右
лес,"woods, forest",森、森
пять,"five, 5",5、5
сын,son,息子
путь,"way, track, path",道、道、道
пора,it is time to,する時間です
кроме,"except, besides",以外に、それに加えて
оставаться,"remain, stay, be left",残る、残る、残る
совершенно,perfectly (adv),完璧に (上級)
поэтому,"that is why, therefore, so",だから、だから、だから
написать,write,書く
пусть,let,させて
чувствовать,"to feel, have a sensation, sense, taste",感じる、感覚を持つ、感じる、味わう
месяц,month,月
целый,"whole, entire",全体、全体
вести,"to lead, conduct, direct",導く、指揮する、指示する
молодой,"young, youthful",若い、若々しい
огромный,"enormous, huge, vast",巨大な、巨大な、広大な
тело,body,体
настоящий,"present, currently",現在、現在
продолжать,"to continue, go on, proceed, extend, prolong",続ける、続ける、進む、延長する、延長する
точно,"exactly, precisely, right",まさに、正確に、正しい
язык,tongue,舌
мама,"mom, mama, mommy, mummy",ママ、ママ、ママ、ママ
смерть,death,死
власть,power,力
мальчик,boy,男の子
также,"also, as well, too, either",また、また、どちらか
брать,"to take, to get",取る、得る
образ,"shape, form, image",形、形、イメージ
отношение,relationship,関係
сердце,heart,心臓
пройти,pass,合格
вокруг,"around, round, about",周り、丸い、約
девушка,"girl, lass",女の子、お嬢さん
солдат,"soldier, regular, private",兵士、正規兵、兵卒
иногда,"sometimes, at times",時々、時々
забыть,to forget [something],[何か]を忘れる
вспомнить,"to recall, remember",思い出す、思い出す
небо,sky,空
затем,"then, after that, thereupon, upon which, subsequently, for that reason",それから、その後、その上で、その後、その理由で
система,system,システム
воздух,air (usually uncountable),空気（通常は数えられない）
оба,both,両方
собственный,one's own,自分自身の
находиться,be situated,位置する
держать,"to hold, keep, support",保持する、保持する、サポートする
показать,to show,見せる
ребята,"lads, boys, guys",若者たち、少年たち、みんな
брат,brother,兄弟
квартира,"flat, quarters",フラット、クォーター
откуда,from where,どこから
четыре,"four, 4",4、4
рассказать,to tell,伝える
особенно,particularly,特に
кровь,blood,血
внимание,"attention, notice",注意、気づく
поставить,"to put, place",置く、置く
вроде,"seem, think, like, sort of, kind of",見える、思う、ような、ある種の、一種の
например,"for example, for instance",たとえば、たとえば
оставить,to leave leave alone left,放っておく 放っておく
туда,"there, to there",そこへ、そこへ
действительно,"really, actually, indeed",本当に、本当に、確かに
мало,"little, few, a little bit",少し、少し、少し
школа,"school, schoolhouse",学校、校舎
равно,"is indifferent, alike, in like manner, nor",無関心であり、同様であり、同様の態度であり、また
труд,"work, labor",仕事、労働
сюда,here,ここ
слишком,"too (much), too (more than enough)",あまりにも（たくさん）、あまりにも（十分すぎるほど）
следующий,following,続く
парень,"boy, guy, fellow, lad, chap, bloke",男の子、男、仲間、若者、チャップ、男
группа,"group, cluster, clump",グループ、クラスター、塊
солнце,sun,太陽
любовь,love,愛
войти,"enter, go in, come in, include",入る、入る、入る、含まれる
ответ,"answer, reply, response",答える、返事、返事
десять,"ten, 10",10、10
спать,to sleep,寝る
двадцать,twenty,二十
берег,shore,海岸
помощь,help,ヘルプ
мужчина,man,男
момент,moment (time),瞬間（時間）
искать,"to look for, search, seek",探す、探す、探す
газета,"newspaper, paper, daily paper, daily",新聞、紙、日刊紙、毎日
против,"against, opposite, facing, contrary to, to, as against",に対して、反対の、直面している、反対に、に対して、のように
верить,"to believe, trust",信じる、信頼する
чувство,"sense, feeling (sensation)",感覚、感覚（感覚）
порядок,order of magnitude,桁違いの
семья,family,家族
армия,"army, forces, host",軍隊、部隊、ホスト
играть,to play,遊ぶ
возможность,"opportunity, chance, means, resources",機会、機会、手段、資源
разве,Really...?,本当に...？
впрочем,however,しかし
движение,"movement, motion, stirring",動き、動き、かき混ぜる
муж,"husband, man",夫、男性
тихо,"quietly, it is calm, it is quiet, softly, gently, faintly, silently",静かに、静かに、静かに、そっと、そっと、かすかに、静かに
огонь,fire,火
иной,"different, other, not the same as in another option or choice",異なる、その他の、別のオプションまたは選択肢と同じではない
бежать,to run,走る
наверное,"probably, maybe, most likely",おそらく、たぶん、おそらく
простой,"simple, easy, common, plain, mere",単純な、簡単な、一般的な、単純な、単純な
принять,to take,取る
угол,"corner, angle, home",コーナー、アングル、ホーム
смысл,"meaning, sense, significance",意味、意味、重要性
открыть,"to open, to unbar, to turn on",開く、バーを外す、オンにする
общество,society,社会
военный,(relational) war,(関係性) 戦争
дерево,"tree, wood",木、木
снег,snow,雪
либо,or,または
ехать,"to go (by horse or vehicle), drive, ride",（馬または乗り物で）行く、運転する、乗る
очередь,"queue, line",行列、列
форма,"form, shape, mound",形、形、塚
закон,"law, act, statute",法律、法律、法令
собака,dog,犬
домой,"homeward, home, to one's home",帰宅、家、家へ
попасть,to get (to),得る（に）
состояние,the state (the condition of somethings existence),状態（何かが存在する状態）
сон,dream,夢
часто,"often, frequently",頻繁に、頻繁に
девочка,"girl, little girl, girlie",女の子、小さな女の子、ガーリー
камень,"stone, rock",石、岩
сначала,"firstly, at first, all over again, afresh",最初に、最初に、もう一度、新たに
ветер,"wind, breeze",風、そよ風
проблема,problem,問題
связь,"connection, link, bond, touch",つながり、リンク、絆、タッチ
номер,"number, size, room, issue, item on the programme, turn, trick",番号、サイズ、部屋、問題、プログラムの項目、ターン、トリック
средство,remedy,治療法
единственный,"only, the only",だけ、唯一の
действие,action,アクション
ход,"motion, run, speed, way, course, progress",動き、走り、スピード、道、コース、進行状況
государство,State,州
российский,Russian (related to the state),ロシア語（国家関連）
глава,"head, chief",頭、主任
партия,"party, detachment, group, set",パーティー、分離、グループ、セット
край,"edge (border, end), brim, brink, side, line",エッジ（境界線、端）、つば、縁、サイド、ライン
вперёд,"forward (куда) about direction, ahead",前方 (куда) 方向、前方について
судьба,"fate, fortune, destiny",運命、幸運、宿命
речь,"Talk about, speech, enunciation, style of speaking, language, discourse, oration, address",について話す、スピーチ、発音、話し方、言語、談話、演説、演説
заниматься,to be engaged,婚約する
вполне,fully entirely or perfectly,完全に完全に、または完全に
причина,reason,理由
никак,in no way,決して
страх,fear,恐れ
едва,"hardly, only just, scarcely, just, barely",ほとんど、ほんの少し、かろうじて、ほんの、かろうじて
море,"sea, ocean",海、海
зал,"hall, audience chamber, reception-room",ホール、謁見室、応接室
врач,doctor,医者
возле,"near, beside, by",近くに、そばに、そばに
довольно,"enough, sufficient",十分、十分
основной,basic,基本的な
ясно,clearly,明らかに
боль,pain,痛み
вчера,yesterday,昨日
вещь,"thing, things, belongings, clothes, work",物、物、持ち物、衣服、仕事
результат,"result, outcome",結果、成果
число,"number, quantity",数、数量
цель,"aim, goal, object, objective, target, mark",目的、目標、対象、目標、ターゲット、マーク
положение,situation,状況
бывший,"former, late, quondam, ex-",元、後期、クォンダム、元-
далеко,"far, it is far, it is a long way, far off, a long way off, a great distance away",遠い、遠い、遠い、遠い、遠い、遠い
проходить,"to pass, go to, to walk",通る、行く、歩く
план,"plan, scheme, map, target",計画、計画、地図、目標
около,"near, about",近くの、約
широкий,wide,広い
завтра,tomorrow,明日
снять,"to take off (clothes), remove",（服を）脱ぐ、取り除く
плохо,it is bad,それは悪いです
представить,"to introduce, to place before [someone]",紹介する、[誰か]の前に置く
небольшой,"small, not great, short",小さい、大きくない、短い
обычно,"usually, generally, commonly, as a rule",通常、一般的に、一般的に、原則として
волос,hair,髪
объяснить,"explain, account",説明する、説明する
пара,"couple, match",カップル、マッチ
решение,decision,決断
купить,"buy, purchase",買う、買う
иначе,"otherwise, or else, else",それ以外の場合、またはそうでない場合、そうでない場合
класс,"class, form, class-room",クラス、フォーム、教室
центр,"center, centre",中心、中心
скоро,"quickly, fast, soon",早く、早く、すぐに
прежде,"before, first, formerly, in former times",以前、最初、以前、以前の時代に
пить,drink,飲む
встреча,"meeting, reception, match, meet, appointment",会議、レセプション、試合、会う、約束
однажды,one day,ある日
служба,"service, work",サービス、仕事
процесс,"process, trial, legal proceedings, legal action, cause, case, lawsuit, suit, active condition",プロセス、裁判、法的手続き、訴訟、原因、事件、訴訟、訴訟、活動状態
президент,president,社長
сквозь,through,を通して
сообщить,"report, let know, communicate, impart, inform",報告する、知らせる、伝える、知らせる、知らせる
герой,hero,ヒーロー
дух,ghost spirit mind,幽霊の精神
мимо,"past, by",過去、によって
кстати,"by the way, incidentally, besides, in fact",ちなみに、ついでに、その上、実は
счастье,"happiness, luck, good fortune",幸福、幸運、幸運
удар,"blow, kick, stroke, impact, stab, lash, slash, punch, cuff",打撃、キック、ストローク、インパクト、突き、鞭、斬り、パンチ、カフ
старший,"elder, oldest, eldest, senior, chief, man in charge, elders",長老、最年長、最年長、先輩、主任、責任者、長老
вместо,instead of,の代わりに
самолёт,"aircraft, aeroplane, airplane, plane, air-liner",飛行機、飛行機、飛行機、飛行機、旅客機
трудно,difficultly,難しい
деревня,"village (small settlement), hamlet",村（小さな集落）、集落
картина,picture,写真
ум,"mind, brains, wit, intellect",心、頭脳、機知、知性
менее,less,少ない
предложить,suggest,提案する
вызвать,"to call, to send for",電話する、送る
многие,many,多くの
легко,"lightly, slightly",軽く、わずかに
государственный,state,州
рабочий,a worker,労働者
телефон,"telephone, phone",電話、電話
компания,company,会社
принимать,take,取る
вниз,"down, downwards",下へ、下へ
автор,"author, authoress, writer, composer, begetter",著者、作家、作家、作曲家、生みの親
интерес,interest,興味
провести,spend,過ごす
двое,two,二
счёт,bill,請求書
спокойно,"quietly, calmly",静かに、静かに
местный,"local, of a place",地元の、ある場所の
игра,play,遊ぶ
качество,"quality, exchange",品質、交換
родной,"native, home, dear, darling, relatives, relations, kinsfolk, kin",ネイティブ、家、親愛なる、最愛の人、親戚、関係、親族、親族
член,member,メンバー
достаточно,"it is enough, sufficiently, enough",十分、十分、十分です
золотой,golden,ゴールデン
развитие,"development, unfolding of events etc",開発、イベントの展開など
важный,"important, significant, grand, pompous",重要な、重要な、壮大な、尊大な
банк,"bank (financial establishment), faro",銀行 (金融機関)、ファロ
столько,"so much, so many, as much",とても、とてもたくさん、同じくらい
институт,"institute, ",研究所、
правительство,government,政府
уровень,"level, standard",レベル、標準
профессор,professor,教授
событие,event,イベント
союз,"union, alliance, Union, league, agreement, conjunction",組合、同盟、ユニオン、リーグ、協定、結合
король,king,王
половина,half,半分
область,area province region,地域 州 地域
ситуация,situation,状況
кухня,"kitchen, cook-house, galley, cooking, cuisine, machinations",キッチン、調理場、調理室、料理、料理、陰謀
род,"generation, birth, origin, stock, family, race, kin",世代、誕生、出身、株、家族、人種、親族
течение,"current, flow, stream",流れ、流れ、流れ
помочь,"help, assist, aid, give sb. a hand",助ける、援助する、援助する、与える。手
немецкий,German,ドイツ語
создать,"to found, to originate",見つける、生み出す
поскольку,since,以来
получать,"Receive, get, obtain, getting",もらう、もらう、もらう、もらう
шесть,"six, 6",6、6
борьба,struggle,闘争
правило,"rule, precept, principle, maxim, law, canon (regulation)",規則、教訓、原則、格言、法律、規範（規定）
программа,program,プログラム
звук,sound,音
неожиданно,"unexpectedly, suddenly",思いがけず、突然
чай,"tea, tea-party, methinks, maybe",お茶、お茶会、たぶん
роль,role,役割
сознание,consciousness,意識
команда,"team, crew, party",チーム、クルー、パーティー
спасибо,"thanks, thank you",ありがとう、ありがとう
прекрасный,"wonderful, beautiful, fine, excellent",素晴らしい、美しい、素晴らしい、優れた
магазин,"shop, store, magazine",店、店、雑誌
впервые,for the first time,初めて
американский,American,アメリカ人
запах,smell,匂い
район,"region, district, area, vicinity",地域、地区、エリア、付近
стекло,"glass, glassware",ガラス、ガラス製品
выше,"above, higher, over, beyond",より高い、より高い、以上、それを超えて
количество,quantity,量
этаж,"floor, storey",床、階数
тип,"type, model",タイプ、モデル
суд,"law-court, court, justice, judgment, trial, the judges, the bench",法廷、裁判所、正義、判決、裁判、裁判官、法廷
выход,"exit, way out, leaving, withdrawal",出る、出る、出る、撤退する
дочь,daughter,娘
характер,"character, temper, disposition",性格、気質、気質
опыт,"experience, expertise, skill",経験、専門知識、スキル
площадь,area (geometry),エリア (ジオメトリ)
управление,"administration, direction, control",管理、指示、制御
мнение,opinion,意見
впереди,in front,前に
использовать,use,使用
рост,growth (in a living organism),（生体内の）成長
лошадь,horse,馬
кожа,"skin, leather",皮、革
служить,to serve (eg. in the military),（軍隊などで）奉仕する
сестра,sister,妹
пожалуйста,please,お願いします
нечего,nothing,何もない
дождь,rain,雨
желание,desire,欲望
болезнь,"illness, disease",病気、病気
встретить,meet,会う
пример,"example, instance",例、インスタンス
позволить,let or allow,させるか許可するか
поле,field,分野
цена,cost or price,コストまたは価格
карта,card,カード
радость,"gladness, joy",喜び、喜び
зато,"for it, in return",それに対して、お返しに
действовать,"act, take action",行動する、行動を起こす
музыка,music,音楽
завод,"factory, plant",工場、工場
добавить,add,追加
лето,summer,夏
станция,station,駅
детский,"childish, infantile, puerile, childlike",幼稚な、幼稚な、幼稚な、子供っぽい
приказ,an order/command,命令/命令
гражданин,citizen,市民
цвет,"color, colour",色、色
статья,"article, item, clause, point, class, rating",記事、項目、条項、ポイント、クラス、評価
круг,"circle, sphere, range, scope, reach, lap",円、球、範囲、スコープ、リーチ、ラップ
столь,so and such (literary),あれこれ（文学）
факт,fact,事実
причём,"Moreover, in addition, besides, what's more, and, at that, with",さらに、さらに、さらに、さらに、そして、それでは、
учиться,to study,勉強する
средний,"middle, average, mean, middling",真ん中の、平均的な、平均的な、中程度の
современный,modern/contemporary (adj),モダン/コンテンポラリー (形容詞)
лагерь,camp,キャンプ
недавно,recently,最近
удовольствие,"pleasure, amusement",喜び、娯楽
возраст,age,年
передать,to transfer,転送する
сад,garden,庭
проводить,spend,過ごす
задача,"task, exercise, problem",課題、演習、問題
название,name title,名前 タイトル
двигаться,"to move, advance",動く、進む
большинство,"the majority, most",大多数、ほとんど
председатель,"chairman, president, the Speaker",会長、社長、議長
прямой,"straight, upright, erect, through, direct, straightforward, frank, sincere, real",まっすぐ、まっすぐ、直立、貫通、直接、率直、率直、誠実、本物
попробовать,"attempt, try, endeavour, test, taste, feel",試みる、試してみる、努力する、テストする、味わう、感じる
вверх,"up, upwards, upstream",上向き、上向き、上流
знак,"sign, token, symbol, mark, omen, signal",サイン、トークン、シンボル、マーク、前兆、信号
семь,"seven, 7",7、7
мозг,"brain, marrow, brains",脳、骨髄、脳
обязательно,necessarily,必然的に
очередной,another recurrent next (adj),別の繰り返しの次 (形容詞)
деятельность,activity,活動
страшно,"scarily, fearfully",恐ろしい、恐ろしい
ставить,to put or place,置く、または置く
здание,"building, edifice",建物、建造物
искусство,art,美術
начало,"beginning, commencement, start, onset",始まり、始まり、始まり、始まり
срок,deadline,締め切り
одежда,clothing,衣類
корабль,"ship, ferry",船、フェリー
художник,"artist, painter",芸術家、画家
курс,"course, policy, rate of exchange",コース、政策、為替レート
дорогой,"expensive, costly, precious",高価な、高価な、貴重な
оттуда,from there,そこから
фирма,firm,固い
тема,topic,トピック
мировой,"first-rate, first-class",一流の、一流の
линия,line,ライン
сутки,"twenty-four hours, day, nychthemeron",24 時間、一日、ニクテメロン
ключ,"key, clue, clef, source, spring",キー、手がかり、音部記号、ソース、スプリング
немедленно,"immediately, at once",すぐに、すぐに
остров,"island, isle",島、島
театр,"theatre, play-house, dramatic works, plays",劇場、芝居小屋、劇作品、演劇
производство,production,生産
трое,three of ...,...の3つ
материал,"material, stuff, fabric",素材、素材、生地
значение,"meaning, significance",意味、意義
отказаться,"refuse, decline, repudiate",拒否する、拒否する、拒否する
способ,way,方法
волна,wave,波
специальный,special,特別
представитель,representative,代表
рынок,market,市場
впечатление,"impression, influence, effect",印象、影響、効果
отдел,department,部門
успех,success,成功
население,"population, inhabitants, peopling, setting",人口、住民、人々、設定
вдоль,along,平行
следить,"watch, spy, shadow, follow",監視、スパイ、シャドウ、フォロー
спасти,"save, rescue, salvage",救う、救助する、救い出す
знание,knowledge,知識
масса,weight,重さ
одновременно,simultaneously,同時に
естественно,"naturally, of course",当然、もちろん
направление,direction,方向
победа,victory/triumph,勝利/勝利
сотрудник,employee,従業員
городской,urban,都会的な
адрес,address,住所
обращаться,treat handle,ハンドルを扱う
период,period,期間
пользоваться,"make use of, profit, enjoy, use",利用する、利益を得る、楽しむ、使用する
клуб,"club, club-house, puff",クラブ、クラブハウス、パフ
восемь,"eight, 8",8、8
предмет,"the subject, the item, the matter",主題、項目、事柄
честь,"to honour, to honor, to respect",尊敬する、名誉を与える、尊敬する
наблюдать,"observe, monitor, watch",観察する、監視する、監視する
наоборот,"on the contrary, inside out, back to front, the wrong way, vice-versa",逆に、裏返し、後ろから前、間違った方向、その逆
культура,culture,文化
территория,territory,地域
гораздо,"much, far, by far, way",ずっと、はるかに、ずっと、ずっと
поздно,"it is late, late",遅い、遅い
остановить,"stop, bring to stop",停止する、停止させる
полностью,"completely, utterly, in full",完全に、完全に、完全に
страница,page,ページ
размер,size,サイズ
предприятие,enterprise (doanh nghiệp)/venture,企業 (doanh nghiệp)/ベンチャー
английский,"English, British",英語、イギリス人
принцип,principle,原理
платить,to pay,支払う
вероятно,"likely, probably, perhaps",おそらく、おそらく、おそらく
руководитель,leader,リーダー
наиболее,"most, in advance",ほとんどの場合、事前に
внутри,"inside, within",内側に、内側に
фильм,"movie, film",映画、映画
специалист,"specialist, expert",専門家、専門家
образование,education,教育
выбрать,"choose, select, pick out, elect, take out",選ぶ、選ぶ、選ぶ、選ぶ、取り出す
тяжело,"hard, difficult",難しい、難しい
продукт,"product, produce",製品、生産する
постепенно,"gradually, little by little, by degrees",徐々に、少しずつ、徐々に
собрать,"gather, collect, convoke, assemble, equip, make gathers",集める、集める、召集する、集める、装備する、集める
внимательно,"attentively, carefully, intently",注意深く、慎重に、熱心に
скорость,"speed, rate, velocity",速度、速度、速さ
участок,"region, lot, plot, strip, parcel",地域、ロット、プロット、ストリップ、パーセル
текст,"text, words",テキスト、言葉
участие,participation,参加
мост,bridge,橋
примерно,around,その周り
здоровье,health,健康
морской,"marine, maritime, naval, nautical",海洋、海事、海軍、航海
отсутствие,absence,不在
случайно,"by chance, by accident, accidentally, by any chance",偶然、偶然、偶然、偶然
мясо,meat,肉
отметить,"mark, note, mark off, mention, register",マークする、メモする、マークオフする、言及する、登録する
доска,"board, plank, slab",板、厚板、スラブ
убийство,"murder, assassination",殺人、暗殺
настроение,"mood, humour, sentiments, mindset",気分、ユーモア、感情、考え方
постоянно,"constantly, continually, always",常に、継続的に、常に
долг,debt,借金
настолько,so much,そんなに
предложение,proposal suggestion,提案提案
внешний,external (adj),外部 (形容詞)
проверить,"check, verify, test, examine, audit",チェックする、検証する、テストする、調べる、監査する
отправить,send,送信
оставлять,"leave, leave alone",離れる、放っておく
ресторан,restaurant,レストラン
список,"list, record",リスト、記録
праздник,"holiday, feast, a festive occasion",休日、ごちそう、お祝い事
автобус,"bus, coach",バス、長距離バス
организм,organism,生物
масло,butter / oil,バター/オイル
международный,international,国際的
пиво,beer,ビール
полтора,one and a half,１個半
центральный,"central, metropolitan",中心部、大都市圏
защита,defence,防衛
энергия,energy,エネルギー
тепло,"warm, it is warm",暖かい、暖かいです
установить,set up install place,設置場所を設定する
внезапно,"suddenly, all of a sudden",突然、突然
напротив,"opposite, in front of, on the contrary",反対に、前に、逆に
