word,translation_en,translation_jp
de auto,the car,車
de rijst,the rice,米
de brug,the bridge,橋
de sokken,the socks,靴下
het leger,the army,軍隊
grijs,gray,グレー
de azijn,the vinegar,酢
een ui,an onion,玉ねぎ
hier,here,ここ
ik woon in een studentenhuis,I live in a student house,私は学生寮に住んでいます
een kamer,a room,部屋
het huis,the house,家
bezet,busy,忙しい
een patiënt,a patient,患者
een vlieg,a fly,ハエ
de mond,the mouth,口
ik heet Dorenda,My name is Dorenda,私の名前はドレンダです
een zakdoek,a handkerchief,ハンカチ
te veel,too many,多すぎる
het mes,the knife,ナイフ
het kippenvlees,the chicken meat,鶏肉
(de) namiddag,(the) afternoon,（その）午後
de minister,the minister,大臣
proberen,try,試す
ik wil...,I do...,私はします...
de koopman,the merchant,商人
het koekje,the cookie,クッキー
een dochter,a daughter,娘
de man,the man,その男
uitdoen,take off,脱ぐ
snel,quickly,素早く
een vlinder,a butterfly,蝶
stoppen,fuses,ヒューズ
de aardappel,the potato,ジャガイモ
mevrouw,Madam,マダム
het gaat goed met me,I'm doing well,元気です
de koe,the cow,牛
niet waar,not true,真実ではない
de apotheek,the pharmacy,薬局
onjuist,incorrect,正しくない
de weg,the road,道路
een bus,a bus,バス
roze,pink,ピンク
rechts,right,右
de broek,the pants,パンツ
de kunst,the art,芸術
de bril,the glasses,メガネ
openen,open,開ける
wit,white,白
de vooruitgang,the progress,進歩
kanker,cancer,癌
een bloem,a flower,花
de bruiloft,the wedding,結婚式
de brandweerman,the fireman,消防士
een spiegel,a mirror,鏡
zetten,to make,作る
het brood,the bread,パン
de zakenman,the businessman,ビジネスマン
bouwen,build,建てる
kosten,costs,費用
het wisselkantoor,the exchange office,両替所
ander,other,他の
de pan,the pan,鍋
een sigaret,a cigarette,タバコ
het vliegtuig,the plane,飛行機
een bord,a plate,皿
het dorp,the village,村
een peer,a pear,梨
een persoon,a person,人
verstaan,to hear,聞く
een seconde,one second,1秒
de hemel,heaven,天国
zich herinneren,remember,覚えて
vergeten,forget,忘れる
de ouders,the parents,両親
de vriend,the friend,友人
zijn,are,は
een appartement,an apartment,アパート
altijd,always,いつも
de fabriek,the factory,工場
woensdag,Wednesday,水曜日
een dokter,a doctor,医者
rechtdoor,straight ahead,まっすぐ
een fles,a bottle,ボトル
een bron,a source,情報源
een vliegtuig,an airplane,飛行機
tonen,to show,見せる
de koekenpan,the frying pan,フライパン
snappen,understand,理解する
praten,talk,話す
een ster,a star,星
een mug,a mosquito,蚊
verzenden,send,送信
een koekje,a cookie,クッキー
waar,Where,どこ
de machine,the machine,機械
een land,a country,国
de lucht,the air,空気
weten,know,知る
een computer,a computer,コンピューター
moe,tired,疲れた
een wisselkantoor,a currency exchange office,外貨両替所
een diploma,a diploma,卒業証書
een leerkracht,a teacher,先生
houden van,love,愛
de schrijver,the writer,作家
de strijd,the battle,戦い
de richting,the direction,方向
het drinken,the drinking,飲酒
de taart,the cake,ケーキ
de avond,the evening,夕方
nogmaals,once more,もう一度
de klas,the class,クラス
hoi!,hi!,こんにちは！
doen,doing,やってる
de kamer,the room,部屋
de onderneming,the company,会社
de vlieg,the fly,ハエ
een minuut,one minute,1分
de politiek,politics,政治
meneer,sir,お客様
de stad,the city,街
de tand,the tooth,歯
het land,the country,国
de kleren,the clothes,服
het strand,the beach,ビーチ
de abrikoos,the apricot,アプリコット
een onderneming,an enterprise,企業
een medicijn,a medicine,薬
de economie,the economy,経済
de mensen,the people,人々
de berg,the mountain,山
ik kan niet,I can't,私はできません
het bord,the board,ボード
de kaas,the cheese,チーズ
een kop,a cup,一杯
zenden,send,送信
een vak,a subject,主題
hebben,to have,持つ
een brief,a letter,手紙
een dorp,a village,村
een venster,a window,窓
de deur,the door,ドア
een telefoon,a telephone,電話
hallo!,Hello!,こんにちは！
het uur,the hour,時間
een lamp,a lamp,ランプ
de tafel,the table,テーブル
voor,for,のために
de jongedame,the young lady,若い女性
een baby,a baby,赤ちゃん
een wolk,a cloud,雲
dinsdag,Tuesday,火曜日
de kool,the cabbage,キャベツ
de trein,the train,電車
de collegezaal,the lecture hall,講堂
het ziekenhuis,the hospital,病院
de fiets,the bicycle,自転車
een appel,an apple,リンゴ
leren,learn,学ぶ
de kip,the chicken,鶏
de zoon,the son,息子
nieuw,new,新しい
vrijdag,Friday,金曜日
de sleutel,the key,鍵
liefhebben,to love,愛すること
een lucifer,a match,試合
de neus,the nose,鼻
uitzetten,to expand,拡大する
het hoofd,the head,頭
een ei,an egg,卵
de hond,the dog,犬
het is nodig...,it is necessary...,これは必要である...
de boom,the tree,木
sorry,Sorry,ごめん
een politieagent,a police officer,警察官
de zeep,the soap,石鹸
de deken,the blanket,毛布
de grens,the border,国境
een dag,a day,一日
de oma,the grandmother,おばあさん
een vrucht,a fruit,果物
de soldaat,the soldier,兵士
de handdoek,the towel,タオル
de wind,the wind,風
een arbeider,a worker,労働者
de natuur,nature,自然
internet,internet,インターネット
een haven,a harbour,港
de koning,the king,王
de hand,the hand,手
veel,a lot of,たくさんの
mooi,Nice,ニース
de citroen,the lemon,レモン
lezen,read,読む
het overhemd,the shirt,シャツ
een collegezaal,a lecture hall,講堂
de ingang,the entrance,入り口
een professor,a professor,教授
erg,terribly,ひどく
doei!,bye!,さよなら！
een school,a school,学校
het huwelijk,the marriage,結婚
zwart,black,黒
blauw,blue,青
een arts,a doctor,医者
de bij,the bee,ミツバチ
studeren,study,勉強
de jongeman,the young man,若い男
de kaart,the map,地図
een schip,a ship,船
een priester,a priest,司祭
de vlinder,the butterfly,蝶
de bank,the bank,銀行
een dier,an animal,動物
de gezondheid,health,健康
het been,the leg,脚
goedenavond,Good evening,こんばんは
welkom!,Welcome!,いらっしゃいませ！
een bed,a bed,ベッド
de mosterd,the mustard,マスタード
de zakdoek,the handkerchief,ハンカチ
beginnen,start,始める
een wet,a law,法律
de landbouw,agriculture,農業
de opa,the grandfather,祖父
een glas,a glass,グラス
het geld,the money,お金
een koekenpan,a frying pan,フライパン
het contract,the contract,契約書
een restaurant,a restaurant,レストラン
de mais,the corn,トウモロコシ
de beurs,the stock exchange,証券取引所
een koopman,a merchant,商人
de dochter,the daughter,娘
de vrouw,the woman,女性
het vloerkleed,the carpet,カーペット
de reis,the journey,旅
verliezen,to lose,失うこと
de pers,the press,報道陣
een feestdag,a holiday,休日
de spiegel,the mirror,鏡
de markt,the market,市場
een docent,a teacher,先生
iedereen,everyone,みんな
een staat,a state,状態
nog,yet,まだ
de knoflook,the garlic,ニンニク
de kast,the closet,クローゼット
een eiland,an island,島
de tabak,the tobacco,タバコ
graag gedaan,Don't mention it,どういたしまして
zich baden,bathe,入浴
de uitgang,the exit,出口
de rekening,the bill,請求書
de tomaat,the tomato,トマト
jullie,you,あなた
een brug,a bridge,橋
een auto,a car,車
laten zien,to show,見せる
lekker,Tasty,美味しい
de persoon,the person,その人
het werk,the work,作品
de seconde,the second,2番目の
de straat,the street,通り
vragen,to ask,尋ねる
het diploma,the diploma,卒業証書
helpen,to help,助けるために
de hoed,the hat,帽子
aanzetten,turn on,オンにする
geel,yellow,黄色
een voet,a foot,足
het eiland,the island,島
weinig,few,少し
zaterdag,Saturday,土曜日
de sigaret,the cigarette,タバコ
goed,Good,良い
antwoorden,answers,答え
de schaar,the scissors,はさみ
koud,cold,寒い
zich bevinden,are located,位置しています
een grootvader,a grandfather,祖父
nee,no,いいえ
een machine,a machine,機械
de badkamer,the bathroom,バスルーム
de boter,the butter,バター
nu,now,今
tussen de middag,at noon,正午に
een fabriek,a factory,工場
de muis,the mouse,マウス
de verjaardag,the birthday,誕生日
echt,Real,本物
een laken,a sheet,シート
wassen,to wash,洗う
het bier,the beer,ビール
makkelijk,comfortable,快適
de rugzak,the backpack,バックパック
het venster,the window,窓
de regen,the rain,雨
binnengaan,enter,入力
ziek,sick,病気
een muur,a wall,壁
hij,he,彼
de professor,the professor,教授
een kers,a cherry,さくらんぼ
tot binnenkort!,see you soon!,また近いうちにお会いしましょう！
de aankomst,the arrival,到着
minder,fewer,少ない
de aarde,the earth,地球
jij,you,あなた
de vertaler,the translator,翻訳者
een flat,an apartment,アパート
de wolf,the wolf,オオカミ
blijven staan,remain standing,立ったまま
een boer,a farmer,農民
alleen,only,のみ
knap,handsome,ハンサム
een kanaal,a channel,チャンネル
oud,old,古い
boven,above,その上
een journalist,a journalist,ジャーナリスト
vandaag,Today,今日
achternaam,surname,姓
een koelkast,a refrigerator,冷蔵庫
de schoenen,the shoes,靴
de patiënt,the patient,患者
genoeg,enough,十分
achter,behind,後ろに
het lichaam,the body,体
dank u wel,Thank you,ありがとう
de suiker,the sugar,砂糖
de kleding,the clothes,服
proper,clean,クリーン
bruin,brown,茶色
kennen,know,知る
een halte,a stop,停止
een taxi,a taxi,タクシー
sluiten,close,近い
ze,them,彼ら
de stoel,the chair,椅子
de vervuiling,the pollution,汚染
het oosten,the east,東
het sap,the juice,ジュース
het voorhoofd,the forehead,額
de industrie,the industry,業界
zingen,sing,歌う
een hoofdkussen,a pillow,枕
het zout,the salt,塩
een week,a week,一週間
schrijven,to write,書く
hoog,high,高い
kopen,buy,買う
een jongedame,a young lady,若い女性
een maand,a month,一ヶ月
het laken,the sheet,シート
de zee,the sea,海
de rat,the rat,ネズミ
een vogel,a bird,鳥
de ziekte,the disease,病気
warm,hot,熱い
een sleutel,a key,鍵
het bos,the forest,森
de maaltijd,the meal,食事
willen,want,欲しい
de lucifer,the match,試合
de vork,the fork,フォーク
gevaarlijk,dangerous,危険な
brengen,to take,取る
een kerk,a church,教会
de servet,the napkin,ナプキン
het schip,the ship,船
het pad,the path,道
de muziek,the music,音楽
de dans,the dance,ダンス
een zieke,a sick person,病気の人
de arm,the arm,腕
de chocolade,the chocolate,チョコレート
een rivier,a river,川
wachten,to wait,待つ
laag,low,低い
de president,the president,大統領
het varkensvlees,the pork,豚肉
wij,We,私たちは
de lepel,the spoon,スプーン
opsturen,send,送信
de omgeving,the environment,環境
komen,come,来る
een motor,an engine,エンジン
een citroen,a lemon,レモン
een been,a leg,脚
de jurk,the dress,ドレス
het dier,the animal,動物
het water,the water,水
de geschiedenis,the history,歴史
het woordenboek,the dictionary,辞書
het glas,the glass,ガラス
de rok,the skirt,スカート
de kat,the cat,猫
het kanaal,the canal,運河
koken,to cook,料理する
een schrijver,a writer,作家
een soldaat,a soldier,兵士
een militair,a soldier,兵士
dichtbij,near,近く
het ontbijt,the breakfast,朝食
zij,she,彼女
een deur,a door,ドア
een brandweerman,a firefighter,消防士
de zon,the sun,太陽
een gebouw,a building,建物
de lamp,the lamp,ランプ
(de) middag,(the) afternoon,（その）午後
de sneeuw,the snow,雪
de prijs,the price,価格
leggen,lay,横たわる
het vertrek,the departure,出発
een boek,a book,本
het medicijn,the medicine,薬
een ziekte,a disease,病気
het bed,the bed,ベッド
een bij,a bee,蜂
de hel,hell,地獄
gisteren,yesterday,昨日
een zakenman,a businessman,ビジネスマン
een woordenboek,a dictionary,辞書
kunnen,be able to,できる
een servet,a napkin,ナプキン
een tand,a tooth,歯
een stad,a city,都市
eten,to eat,食べる
een opa,a grandfather,祖父
een kind,a child,子供
de wet,the law,法律
de rivier,the river,川
wacht op mij!,wait for me!,私を待っててください！
luisteren,listen,聞く
een kaartje,a ticket,チケット
ik spreek Nederlands,I speak Dutch,私はオランダ語を話します
het meer,the lake,湖
het paradijs,paradise,パラダイス
een klas,a class,クラス
tekenen,to draw,描く
de olie,the oil,油
zien,to see,見る
een paard,a horse,馬
een apotheek,a pharmacy,薬局
links,left,左
een hand,a hand,手
accepteren,accept,受け入れる
een vakbond,a trade union,労働組合
maken,to make,作る
klaar,finished,終了した
de tuin,the garden,庭
de godsdienst,religion,宗教
tot ziens,goodbye,さようなら
de revolutie,the revolution,革命
het restaurant,the restaurant,レストラン
langzaam,slowly,ゆっくり
een boom,a tree,木
voornaam,first name,ファーストネーム
leeg,empty,空の
de lippen,the lips,唇
donderdag,Thursday,木曜日
de echtgenoot,the husband,夫
de staat,the state,州
de film,the movie,映画
een minister,a minister,大臣
een zoon,a son,息子
een vloerkleed,a rug,敷物
in bad gaan,take a bath,お風呂に入る
de jam,the jam,ジャム
het gebouw,the building,建物
groot,big,大きい
een kaart,a card,カード
een hond,a dog,犬
de alcohol,the alcohol,アルコール
de handtas,the handbag,ハンドバッグ
het platteland,the countryside,田舎
slecht,bad,悪い
een vrouw,a woman,女性
groen,green,緑
de wolk,the cloud,雲
de baby,the baby,赤ちゃん
de aansteker,the lighter,軽い方
de journalist,the journalist,ジャーナリスト
vinden,find,探す
het hoofdkussen,the pillow,枕
de ingenieur,the engineer,エンジニア
de asbak,the ashtray,灰皿
het station,the station,駅
allen,all,全て
de arbeider,the worker,労働者
het paard,the horse,馬
de motor,the engine,エンジン
een handdoek,a towel,タオル
een gordijn,a curtain,カーテン
de grootvader,the grandfather,祖父
plaatsen,places,場所
je,you,あなた
de oorlog,the war,戦争
de regering,the government,政府
ja,Yes,はい
een rat,a rat,ネズミ
het gezin,the family,家族
een rugzak,a backpack,バックパック
de ogen,the eyes,目
het noorden,the north,北
op je gezondheid,on your health,あなたの健康について
een sinaasappel,an orange,オレンジ
gelukkig,happy,ハッピー
een verjaardag,a birthday,誕生日
een tomaat,a tomato,トマト
het vruchtensap,the fruit juice,フルーツジュース
de peper,the pepper,コショウ
men moet...,one must...,必ず...
horen,to belong,所属する
een straat,a street,通り
de sinaasappel,the orange,オレンジ
de vogel,the bird,鳥
goedkoop,cheap,安い
de huurprijs,the rental price,レンタル価格
een partij,a party,パーティー
een lepel,a spoon,スプーン
lelijk,ugly,醜い
moeilijk,difficult,難しい
vertalen,translate,翻訳する
verboden,forbidden,禁断
een ticket,a ticket,チケット
het koren,the corn,トウモロコシ
de maatschappij,society,社会
de melk,the milk,牛乳
de zieke,the sick person,病気の人
het onderwijs,education,教育
onder,under,下
het zuiden,the south,南
het volk,the people,人々
de schilderkunst,painting,絵画
de televisie,the television,テレビ
een abrikoos,an apricot,アプリコット
de verdieping,the floor,床
een stoel,a chair,椅子
tellen,to count,数える
u,you,あなた
de docent,the teacher,先生
het graan,the grain,穀物
de vader,the father,父親
de tong,the tongue,舌
het ei,the egg,卵
het kind,the child,子供
de telefoon,the phone,電話
het papier,the paper,紙
de buurman,the neighbor,隣人
de maand,the month,月
de bron,the source,ソース
de fles,the bottle,ボトル
een rok,a skirt,スカート
een kat,a cat,猫
de politieagent,the police officer,警察官
een meer,a lake,湖
het ticket,the ticket,チケット
ik kom uit Nederland,I am from the Netherlands,私はオランダ出身です
de ster,the star,星
weigeren,to refuse,拒否する
goedendag,Good day,良い一日
laten,to leave,去る
de ui,the onion,タマネギ
een pad,a path,道
de school,the school,学校
breed,wide,広い
de peer,the pear,梨
de computer,the computer,コンピューター
vroeg,asked,尋ねた
een handelaar,a trader,トレーダー
vies,dirty,汚い
goedenacht,good night,おやすみ
ontmoeten,meet,会う
de moeder,the mother,母親
de zuigeling,the infant,幼児
een postzegel,a postage stamp,切手
verkopen,to sell,売る
naam,name,名前
de thee,the tea,お茶
het lawaai,the noise,騒音
de oren,the ears,耳
een arm,an arm,腕
de vis,the fish,魚
de student,the student,学生
het boek,the book,本
het milieu,the environment,環境
de wijn,the wine,ワイン
de groente,the vegetable,野菜
