word,translation_en,translation_jp
科学,science,科学
桌子,table,テーブル
快,quick,素早い
啊,ah,ああ
开始,start,始める
办,manage,管理
这,this,これ
西,West,西
听写,dictation,口述筆記
国,country,国
年,Year,年
了,Got it,わかった
西边,west,西
困难,difficulty,困難
全部,all,全て
立刻,immediately,すぐに
辆,vehicle,車両
搞,do,する
分,point,ポイント
改,change,変化
颜色,color,色
男,male,男
笑,laugh,笑う
呀,ah,ああ
欢迎,welcome,いらっしゃいませ
系,Tie,ネクタイ
一边_一边,side_side,サイドサイド
精彩,Wonderful,素晴らしい
戴,Wear,着る
民族,nationality,国籍
出去,go out,外出
地,land,土地
痛快,happy,ハッピー
危险,Danger,危険
人们,people,人々
有名,famous,有名な
才,talent,タレント
门,Door,ドア
没关系,It doesn't matter,それは問題ではありません
冬,winter,冬
小孩儿,child,子供
大概,perhaps,多分
完,over,以上
将来,future,未来
学习,study,勉強
纸,Paper,紙
任何,any,どれでも
技术,technology,テクノロジー
现在,Now,今
不用,Need not,必要ありません
双,pair,ペア
消息,information,情報
动物,animal,動物
知道,Know,知る
大夫,doctor,医者
会,meeting,ミーティング
不,No,いいえ
帮助,help,ヘルプ
春天,spring,春
态度,manner,マナー
电话,Telephone,電話
抱,hug,ハグ
一会儿,a while,しばらく
做,Do,する
感谢,grateful,ありがたい
握手,shake hands,握手する
猪,pig,豚
走,Walk,歩く
同意,agree,同意する
咳嗽,cough,咳
离开,leave,離れる
名字,name,名前
坐,sit,座る
海,ocean,海
白,white,白
关系,relation,関係
合适,suitable,適切な
七,seven,セブン
飞机,airplane,飛行機
检查,examine,診る
变化,change,変化
周,week,週
公共汽车,bus,バス
一点儿,a little,少し
也许,Maybe,多分
一_就_,Just as soon as,すぐに
个,indivual,個人の
蓝,blue,青
历史,history,歴史
办法,way,方法
远,Far,遠い
进来,Come in,お入りください
服务员,waiter,ウェイター
六,six,六
黑板,blackboard,黒板
布,cloth,布
学校,School,学校
妈妈,Mother,母親
票,ticket,チケット
最近,recent,最近の
钟,bell,ベル
同志,Comrade,同志
肉,Meat,肉
周围,around,その周り
五,five,五
派,group,グループ
位,Bit,少し
上来,Come up,やってくる
经常,often,頻繁
晚上,night,夜
提,carry,運ぶ
劳驾,Excuse me,すみません
进行,conduct,行為
秋天,autumn,秋
班,class,クラス
客气,polite,礼儀正しい
好像,like,のように
例如,For example,例えば
开玩笑,joke,ジョーク
东边,east,東
下午,afternoon,午後
真正,real,本物
加,add,追加
得,have to,しなければならない
千,thousand,千
电视,television,テレビ
旁边,beside,それ以外
教室,classroom,教室
饿,Hungry,お腹がすいた
干部,cadre,幹部
话,talk,話す
认真,serious,深刻な
思想,Thought,考え
些,some,いくつかの
挤,squeeze,絞る
从,from,から
大声,loud,うるさい
提高,improve,改善する
北,north,北
必须,must,しなければならない
饱,full,満杯
照相,taking photos,写真を撮る
还是,still,まだ
方面,aspect,側面
他,he,彼
非常,Very,とても
人民,people,人々
外语,foreign language,外国語
体育,physical education,体育
米饭,rice,米
酸,acid,酸
决定,Decide,決める
热,hot,熱い
方向,direction,方向
商店,shop,店
了解,learn,学ぶ
刻,carve,彫る
变成,become,なる
脚,foot,足
基本,Basic,基本
领导,lead,鉛
喂,Hello,こんにちは
朝,towards,に向かって
零,zero,ゼロ
世界,world,世界
躺,lie,嘘
亿,100 million,1億
比赛,Contest,コンテスト
我,I,私
左,Left,左
太,too,あまりにも
辅导,Counseling,カウンセリング
祝,wish,願い
顿,Dayton,デイトン
音乐,music,音楽
作业,Operation,手術
帽子,hat,帽子
父亲,Father,父親
翻,turn,振り向く
学生,student,学生
或者,or,または
主要,main,主要
日,day,日
取得,obtain,得る
卖,Sell,売る
刚才,Just now,ちょうど今
翻译,translate,翻訳する
交,pay,支払う
多么,how,どうやって
旧,old,古い
笔,Pen,ペン
北边,north,北
小时,Hour,時間
种,kind,親切
飞,fly,飛ぶ
电灯,electric light,電灯
跑步,running,走っている
又,again,また
习惯,Habit,癖
通过,pass,合格
碗,bowl,ボウル
花,flower,花
紧张,nervous,神経質
钱,money,お金
洗,wash,洗う
机器,machine,機械
食堂,canteen,食堂
嗯,Um,えーっと
一些,Some,いくつかの
下来,come down,降りてくる
家,Home,家
上,superior,優れた
儿子,son,息子
好处,benefit,利点
楼,building,建物
推,push,押す
为了,for,のために
词典,dictionary,辞書
一共,total,合計
节目,programme,プログラム
她们,they,彼らは
口,mouth,口
没,without,それなし
片,piece,ピース
破,break,壊す
年级,grade,学年
图书馆,library,図書館
这么,so,それで
吹,blow,吹く
铅笔,pencil,鉛筆
同时,at the same time,同時に
棵,tree,木
麻烦,trouble,トラブル
问,ask,聞く
克,gram,グラム
本,Book,本
以后,after,後
夜,night,夜
那样,That way,そうやって
场,field,分野
吃,eat,食べる
你们,you,あなた
演出,show,見せる
到,arrive,到着
有意思,interesting,面白い
近,close,近い
指,refer to,参照
完全,completely,完全に
得,have to,しなければならない
原谅,forgive,許す
忘,forget,忘れる
要求,Require,必要とする
地方,place,場所
响,ring,指輪
冷,cold,寒い
广播,broadcast,放送
怎么样,How about it,どうでしょうか
基础,Base,ベース
经验,experience,経験
着急,in a hurry,急いで
医院,Hospital,病院
电影,Movie,映画
查,check,チェック
努力,effort,努力
能够,can,できる
安静,Quiet,静かな
写,Write,書く
热情,enthusiasm,熱意
只,Only,のみ
感冒,cold,寒い
不错,good,良い
桥,bridge,橋
先,First,初め
农业,agriculture,農業
累,tired,疲れた
口语,spoken language,話し言葉
贵,expensive,高い
生词,new words,新しい言葉
旅行,travel,旅行
忽然,suddenly,突然
少,few,少し
怎么,how,どうやって
宴会,banquet,バンケット
机会,Chance,チャンス
下去,Go down,下に行く
经济,economy,経済
多,many,多くの
给,Give,与える
表现,Performance,パフォーマンス
女,female,女性
先生,gentlemen,紳士
知识,Knowledge,知識
重,Heavy,重い
眼睛,Eye,目
举,Lift,リフト
讲,speak,話す
接,catch,キャッチ
那么,So,それで
表演,Performance,パフォーマンス
错,wrong,間違っている
声音,sound,音
正确,correct,正しい
坏,bad,悪い
新,new,新しい
有些,some,いくつかの
公园,garden,庭
上学,go to school,学校に行く
错误,mistake,間違い
操场,playground,遊び場
爬,climb,登る
点,point,ポイント
都,All,全て
看见,see,見る
自行车,bike,自転車
声调,tone,トーン
午饭,lunch,ランチ
遇到,meet,会う
复杂,complex,複雑な
边,side,側
常常,Frequent,頻繁
可是,But,しかし
舒服,Comfortable,快適
比,Compare,比較する
词,word,言葉
苹果,apple,りんご
嘛,Well,良い
朋友,friend,友人
语法,grammar,文法
喜欢,like,のように
教育,educate,教育する
同学,classmate,同級生
苦,bitter,苦い
建设,construction,工事
满意,satisfy,満足する
湖,lake,湖
江,River,川
风,wind,風
橘子,tangerine,タンジェリン
艺术,Art,美術
雨,rain,雨
块,piece,ピース
首都,capital,資本
电车,tram,トラム
节日,festival,祭り
怎样,how,どうやって
公斤,Kilogram,キログラム
停,stop,停止
便宜,Cheap,安い
考试,take an exam,試験を受ける
拿,take,取る
秋,Autumn,秋
常,often,頻繁
他们,them,彼ら
太阳,sun,太陽
往,Past,過去
方法,method,方法
水果,fruit,フルーツ
半天,long time,長い間
寄,send,送信
姓,surname,姓
哪,where,どこ
生产,Production,生産
流,flow,流れ
鸡,chicken,チキン
那,That,それ
黄,yellow,黄色
干,Dry,ドライ
前边,front,フロント
屋子,room,部屋
没意思,Not interesting,面白くない
死,die,死ぬ
邮票,stamp,スタンプ
很,very,とても
支,branch,支店
更,Even,平
最,most,ほとんど
正,just,ただ
咖啡,coffee,コーヒー
日语,Japanese,日本語
已经,already,すでに
懂,Understand,理解する
在,exist,存在する
公里,kilometer,キロメートル
小姐,Miss,逃す
菜,vegetable,野菜
街,street,通り
买,purchase,購入
云,cloud,雲
照顾,take care of,世話をする
这个,this,これ
条件,condition,状態
窗户,window,ウィンドウ
动,move,動く
开学,School starts,学校が始まります
角,horn,ホーン
渴,thirsty,喉が渇いた
段,part,一部
页,Page,ページ
以为,Think,考える
低,Low,低い
听见,hear,聞く
干净,clean,クリーン
汽水,soda,ソーダ
起,rise,上昇
占,occupy,占める
短,short,短い
感到,feel,感じる
别的,Others,その他
头,head,頭
愉快,joy,喜び
故事,story,話
复习,review,レビュー
睡,sleep,寝る
墙,wall,壁
幸福,happiness,幸せ
老师,teacher,教師
一切,everything,すべて
练习,practise,練習する
目前,at present,現在のところ
那个,that,それ
这些,These,これら
各种,Various,様々な
面包,bread,パン
黑,black,黒
斤,catty,猫
农村,rural area,田舎
为什么,Why,なぜ
课本,textbook,教科書
大学,University,大学
脱,take off,脱ぐ
一下儿,for a while,しばらくの間
南边,south,南
休息,rest,休む
别人,other people,他の人
医生,doctor,医者
张,open,開ける
利用,use,使用
水,water,水
姐姐,elder sister,姉
哭,cry,泣く
得到,get,得る
字,Character,キャラクター
弟弟,younger brother,弟
装,Pack,パック
像,picture,写真
多少,How many,幾つか
总是,always,いつも
好,good,良い
计划,plan,プラン
问题,question,質問
轻,light,ライト
一直,Always,いつも
细,thin,薄い
层,layer,層
内,Inside,内部
化学,Chemical,化学薬品
简单,Simple,単純
还,return,戻る
万,Ten thousand,万
然后,Then,それから
酒,liquor,酒
从前,Once upon a time,むかしむかし
换,Change,変化
窗,window,ウィンドウ
南,South,南
告诉,Tell,教えて
灯,lamp,ランプ
车,car,車
空气,Air,空気
安排,arrange,整える
吗,?,?
深,deep,深い
四,Four,4
星期,Week,週
是,yes,はい
一定,must,しなければならない
九,Nine,九
组织,organize,整理する
节,Festival,祭り
输,lose,失う
一样,Same,同じ
哈哈,Ha ha,ははは
饭店,Restaurant,レストラン
道,road,道
手,hand,手
电,electricity,電気
穿,wear,着る
昨天,yesterday,昨日
当然,certainly,確かに
意见,Opinion,意見
长,long,長さ
改变,Change,変化
了,Got it,わかった
把,Bundle,バンドル
画,painting,絵画
东西,thing,もの
文学家,writer,ライター
发生,occur,起こる
面条儿,Noodles,麺
矮,short,短い
熟,Ripe,熟した
生活,Life,人生
以前,before,前に
谁,who,誰が
中午,noon,正午
社会,society,社会
它,it,それ
等,wait,待って
最后,at last,やっと
钢笔,pen,ペン
就,At once,すぐに
出发,Set off,出発する
漂亮,pretty,かわいい
丢,leave,離れる
上去,Go up,上がる
拉,pull,引く
草,Grass,草
骑,ride,乗る
一块儿,together,一緒に
收拾,tidy,きちんとした
内容,content,コンテンツ
会话,session,セッション
邮局,post office,郵便局
通,Pass,合格
百,Hundred,百
宿舍,dormitory,寮
早饭,breakfast,朝食
杯子,cup,カップ
火车,train,電車
迟到,be late,遅刻する
样子,appearance,外観
自己,Own,自分の
洗澡,bath,バス
完成,Finish,仕上げる
紧,tight,きつい
哪里,where,どこ
排球,volleyball,バレーボール
留学生,International students,留学生
全,Complete,完了
外,outside,外
站,stand,立つ
继续,continue,続く
晚会,party,パーティー
船,Boat,ボート
里,inside,内部
办公室,office,オフィス
里边,inside,内部
尤其,especially,特に
法语,French,フランス語
路,road,道
掌握,master,マスター
通知,notify,通知する
希望,hope,希望
夏,summer,夏
歌,Song,歌
回答,answer,答え
见,See,見る
孩子,child,子供
认识,know,知る
马,horse,馬
爸爸,dad,お父さん
杯,cup,カップ
三,three,三つ
啊,ah,ああ
搬,move,動く
没有,No,いいえ
倒,fall,秋
意思,mean,平均
过去,past,過去
好吃,tasty,美味しい
差,Difference,違い
说,explain,説明する
放,put,置く
您,you,あなた
月亮,moon,月
关,close,近い
马上,immediately,すぐに
主意,idea,アイデア
俩,both,両方
糖,sugar,砂糖
实践,practice,練習する
够,enough,十分
玩儿,play,遊ぶ
对不起,sorry,ごめん
要,want,欲しい
贵姓,your surname,あなたの姓
代表,represent,代表する
摆,put,置く
卡车,truck,トラック
变,Change,変化
报,newspaper,新聞
真,real,本物
一起,Together,一緒に
浅,shallow,浅い
急,urgent,緊急
问好,say hello,こんにちは
钟头,hour,時間
姑娘,girl,女の子
后边,behind,後ろに
只好,Had to,しなければならなかった
有的,some,いくつかの
妹妹,younger sister,妹
下课,After class,授業後
明天,tomorrow,明日
袜子,sock,靴下
啤酒,beer,ビール
开,open,開ける
地,land,土地
谢谢,Thanks,ありがとう
道理,reason,理由
声,Voice,声
参观,visit,訪問
情况,Condition,状態
们,them,彼ら
城市,City,市
心,Heart,心臓
夫人,lady,レディ
辛苦,Hard,難しい
右,right,右
农民,farmer,農家
汽车,car,車
好看,nice,ニース
